Clause_ID,Clause_Type,Mandatory,State,Product,Version,Expiration_Date
CL0001,Emergency,Y,FL,POS,4,2027-05-30
CL0002,Appeals,N,FL,POS,1,2027-01-28
CL0003,Behavioral Health,Y,IL,POS,1,2026-11-12
CL0004,Network,Y,TX,HMO,5,2026-03-17
CL0005,Emergency,N,CT,HMO,4,2027-08-22
CL0006,Pediatric Care,N,NJ,HMO,1,2026-09-27
CL0007,Privacy,Y,FL,POS,1,2026-08-13
CL0008,Emergency,Y,NJ,HMO,4,2027-06-14
CL0009,Behavioral Health,N,FL,POS,3,2026-04-23
CL0010,Network,Y,CT,PPO,1,2026-09-08
CL0011,Appeals,Y,PA,POS,2,2026-08-21
CL0012,Behavioral Health,Y,MA,EPO,4,2027-12-15
CL0013,Behavioral Health,Y,PA,HMO,1,2026-03-24
CL0014,Privacy,N,FL,HMO,5,2026-05-05
CL0015,Prescription,N,OH,EPO,2,2026-06-24
CL0016,Network,Y,MA,POS,1,2026-03-10
CL0017,Telehealth,Y,MA,PPO,2,2026-02-16
CL0018,Behavioral Health,Y,NJ,EPO,2,2026-09-13
CL0019,Prescription,Y,TX,EPO,3,2027-12-28
CL0020,Telehealth,N,NJ,POS,2,2026-01-30
CL0021,Network,Y,NJ,HMO,3,2026-10-08
CL0022,Mental Health,Y,OH,POS,4,2026-08-25
CL0023,Pediatric Care,Y,PA,EPO,3,2026-09-05
CL0024,Prescription,Y,PA,EPO,5,2027-01-03
CL0025,Women's Health,Y,CA,HMO,1,2027-05-10
CL0026,Mental Health,N,FL,HMO,4,2026-01-25
CL0027,Pediatric Care,Y,OH,HMO,4,2027-08-09
CL0028,Privacy,N,CA,POS,5,2027-12-19
CL0029,Emergency,Y,CT,HMO,3,2027-05-05
CL0030,Appeals,Y,FL,EPO,1,2027-05-09
CL0031,Women's Health,Y,FL,EPO,3,2026-11-10
CL0032,Privacy,N,IL,PPO,2,2027-08-29
CL0033,Network,N,IL,POS,3,2027-01-10
CL0034,Privacy,Y,NY,PPO,4,2027-10-01
CL0035,Emergency,Y,NY,EPO,1,2026-01-25
CL0036,Network,N,NJ,PPO,3,2026-11-30
CL0037,Women's Health,Y,CT,EPO,1,2026-12-21
CL0038,Emergency,Y,MA,PPO,1,2026-04-26
CL0039,Telehealth,N,MA,HMO,2,2026-02-17
CL0040,Appeals,Y,IL,PPO,2,2026-04-09
CL0041,Women's Health,Y,IL,HMO,4,2027-04-04
CL0042,Telehealth,Y,IL,HMO,5,2027-06-07
CL0043,Pediatric Care,Y,OH,POS,1,2027-08-20
CL0044,Women's Health,Y,TX,HMO,5,2027-02-09
CL0045,Pediatric Care,N,NY,HMO,4,2026-08-02
CL0046,Network,Y,OH,PPO,1,2027-11-16
CL0047,Telehealth,Y,PA,EPO,1,2027-05-18
CL0048,Appeals,Y,MA,POS,5,2027-12-22
CL0049,Emergency,Y,FL,HMO,3,2027-03-24
CL0050,Behavioral Health,N,NY,POS,2,2027-07-30
CL0051,Privacy,Y,CA,PPO,3,2026-09-15
CL0052,Mental Health,Y,PA,HMO,5,2026-05-01
CL0053,Appeals,N,NY,PPO,2,2026-02-23
CL0054,Telehealth,Y,OH,POS,3,2026-11-27
CL0055,Behavioral Health,Y,CT,PPO,2,2026-08-29
CL0056,Appeals,Y,FL,POS,1,2027-06-14
CL0057,Telehealth,Y,NY,PPO,3,2027-04-28
CL0058,Prescription,Y,TX,POS,2,2026-07-06
CL0059,Prescription,Y,IL,EPO,2,2027-10-18
CL0060,Pediatric Care,N,IL,PPO,2,2026-09-19
CL0061,Appeals,Y,FL,PPO,3,2026-12-30
CL0062,Prescription,Y,OH,EPO,4,2027-05-06
CL0063,Telehealth,Y,IL,EPO,3,2027-03-07
CL0064,Pediatric Care,Y,NY,PPO,5,2026-08-27
CL0065,Telehealth,N,CA,EPO,3,2026-10-31
CL0066,Pediatric Care,Y,MA,HMO,2,2026-10-25
CL0067,Appeals,Y,MA,POS,1,2026-03-17
CL0068,Behavioral Health,N,PA,POS,3,2027-12-01
CL0069,Emergency,Y,NJ,POS,3,2026-11-29
CL0070,Women's Health,Y,CT,HMO,2,2027-10-04
CL0071,Behavioral Health,Y,FL,EPO,1,2027-04-19
CL0072,Network,Y,PA,EPO,1,2026-10-10
CL0073,Telehealth,N,NJ,PPO,5,2027-08-14
CL0074,Network,Y,OH,EPO,3,2026-03-13
CL0075,Behavioral Health,Y,TX,PPO,1,2026-09-20
CL0076,Pediatric Care,Y,TX,HMO,1,2027-12-04
CL0077,Women's Health,N,CT,POS,4,2027-07-29
CL0078,Women's Health,Y,IL,POS,4,2026-01-12
CL0079,Mental Health,N,NY,POS,1,2026-05-21
CL0080,Women's Health,Y,PA,EPO,5,2027-07-09
CL0081,Emergency,N,PA,PPO,1,2026-01-17
CL0082,Women's Health,N,FL,PPO,2,2026-03-04
CL0083,Behavioral Health,N,FL,HMO,3,2026-09-10
CL0084,Mental Health,N,TX,EPO,5,2027-04-10
CL0085,Behavioral Health,Y,TX,HMO,2,2027-01-11
CL0086,Behavioral Health,Y,CA,PPO,5,2027-06-04
CL0087,Privacy,Y,CA,PPO,2,2026-03-31
CL0088,Mental Health,Y,IL,POS,3,2027-12-21
CL0089,Behavioral Health,Y,CA,EPO,3,2027-09-22
CL0090,Privacy,Y,NY,PPO,4,2026-06-24
CL0091,Privacy,Y,NY,POS,2,2026-03-17
CL0092,Mental Health,Y,PA,EPO,4,2027-09-05
CL0093,Network,N,MA,HMO,2,2027-10-25
CL0094,Pediatric Care,Y,NY,EPO,4,2027-02-04
CL0095,Emergency,N,NJ,EPO,3,2026-03-12
CL0096,Pediatric Care,N,TX,PPO,5,2026-06-29
CL0097,Women's Health,N,FL,PPO,4,2026-05-04
CL0098,Emergency,Y,CA,EPO,2,2027-01-16
CL0099,Women's Health,N,PA,PPO,2,2026-10-20
CL0100,Behavioral Health,N,CT,PPO,3,2026-07-14
CL0101,Telehealth,N,FL,PPO,2,2026-08-16
CL0102,Mental Health,Y,NJ,POS,1,2027-03-07
CL0103,Emergency,Y,CA,POS,5,2027-03-12
CL0104,Emergency,Y,NJ,EPO,4,2027-04-06
CL0105,Behavioral Health,Y,TX,PPO,5,2027-09-10
CL0106,Network,Y,TX,POS,3,2026-01-21
CL0107,Privacy,N,IL,EPO,4,2026-03-05
CL0108,Behavioral Health,N,PA,PPO,4,2026-06-14
CL0109,Prescription,Y,FL,HMO,1,2026-01-27
CL0110,Privacy,N,OH,PPO,3,2026-11-07
CL0111,Mental Health,Y,OH,PPO,2,2026-10-12
CL0112,Privacy,N,FL,POS,1,2027-10-22
CL0113,Network,N,CT,EPO,1,2026-10-08
CL0114,Privacy,Y,PA,EPO,5,2026-06-13
CL0115,Mental Health,Y,NJ,POS,5,2026-08-12
CL0116,Network,N,CT,PPO,5,2026-05-26
CL0117,Pediatric Care,Y,MA,HMO,1,2026-01-30
CL0118,Emergency,Y,FL,PPO,2,2026-02-14
CL0119,Emergency,N,NJ,PPO,4,2027-04-16
CL0120,Women's Health,Y,OH,HMO,5,2026-02-03
CL0121,Pediatric Care,N,NY,POS,2,2027-10-15
CL0122,Pediatric Care,Y,IL,EPO,3,2027-03-03
CL0123,Privacy,N,OH,POS,5,2026-08-09
CL0124,Emergency,Y,PA,POS,4,2027-06-18
CL0125,Mental Health,N,TX,PPO,3,2027-11-23
CL0126,Appeals,N,NY,EPO,3,2027-01-02
CL0127,Appeals,Y,IL,EPO,4,2027-07-04
CL0128,Network,Y,IL,POS,5,2027-08-05
CL0129,Emergency,N,MA,HMO,1,2026-04-26
CL0130,Emergency,Y,MA,POS,4,2026-08-27
CL0131,Appeals,Y,CA,HMO,4,2026-12-01
CL0132,Emergency,Y,OH,EPO,4,2027-03-17
CL0133,Privacy,Y,OH,POS,3,2026-05-28
CL0134,Prescription,N,OH,PPO,2,2026-01-09
CL0135,Telehealth,Y,CA,POS,1,2026-10-15
CL0136,Pediatric Care,Y,CT,EPO,5,2027-01-23
CL0137,Women's Health,Y,IL,PPO,5,2026-02-19
CL0138,Network,Y,NY,PPO,2,2027-06-01
CL0139,Prescription,Y,PA,HMO,4,2027-09-30
CL0140,Appeals,Y,IL,PPO,1,2027-08-10
CL0141,Pediatric Care,N,MA,PPO,5,2027-11-08
CL0142,Emergency,Y,NJ,POS,5,2026-10-05
CL0143,Women's Health,Y,TX,EPO,4,2026-10-27
CL0144,Emergency,N,CA,HMO,2,2027-08-12
