Policy_ID,State,Product,Policy_Version,Policy_Effective_Date,Requirement_Effective_Date,Clause_ID,Required_Clause_Version,Requirement_ID
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0837,3,RR00255
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0842,4,RR00256
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0898,5,RR00257
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0311,4,RR00258
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0743,4,RR00259
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0490,5,RR00260
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0909,2,RR00261
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0206,5,RR00262
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0636,4,RR00263
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0307,1,RR00264
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0950,5,RR00265
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0803,3,RR00131
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0404,2,RR00132
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0033,4,RR00133
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0507,2,RR00134
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0734,5,RR00135
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0724,4,RR00136
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0483,4,RR00137
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0913,1,RR00138
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0842,5,RR00139
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0123,1,RR00140
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0247,1,RR00141
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0092,3,RR00142
P100001,MA,HMO,1,2025-07-23,2025-01-01,CL0387,1,RR00143
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0355,5,RR00308
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0762,3,RR00309
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0372,1,RR00310
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0285,1,RR00311
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0390,4,RR00312
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0698,1,RR00313
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0929,4,RR00314
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0319,2,RR00315
P100002,FL,POS,5,2026-07-08,2025-01-01,CL0118,3,RR00316
P100003,PA,EPO,1,2025-01-13,2025-01-01,CL0863,2,RR00184
P100003,PA,EPO,1,2025-01-13,2025-01-01,CL0290,5,RR00185
P100003,PA,EPO,1,2025-01-13,2025-01-01,CL0706,3,RR00186
P100003,PA,EPO,1,2025-01-13,2025-01-01,CL0879,3,RR00187
P100003,PA,EPO,1,2025-01-13,2025-01-01,CL0211,5,RR00188
P100004,TX,PPO,2,2026-10-28,2025-01-01,CL0690,2,RR00237
P100004,TX,PPO,2,2026-10-28,2025-01-01,CL0106,1,RR00238
P100004,TX,PPO,2,2026-10-28,2025-01-01,CL0065,2,RR00239
P100004,TX,PPO,2,2026-10-28,2025-01-01,CL0095,3,RR00240
P100004,TX,PPO,2,2026-10-28,2025-01-01,CL0294,2,RR00241
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0659,3,RR00378
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0382,3,RR00379
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0663,4,RR00380
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0872,3,RR00381
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0354,3,RR00382
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0449,5,RR00383
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0536,2,RR00384
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0954,2,RR00385
P100005,OH,HMO,3,2025-10-01,2025-01-01,CL0234,3,RR00386
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0327,3,RR00083
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0023,5,RR00084
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0672,4,RR00085
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0618,3,RR00086
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0045,4,RR00087
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0155,4,RR00088
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0306,5,RR00089
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0806,3,RR00090
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0689,1,RR00091
P100006,NJ,PPO,1,2025-10-25,2025-01-01,CL0593,2,RR00092
P100007,TX,POS,4,2025-02-20,2025-01-01,CL0533,2,RR00266
