Policy_ID,State,Product,Policy_Version,Effective_Date,Employer_Size,Market_Segment,Status
P100000,TX,EPO,2,2026-11-13,Small,Commercial,Active
P100001,MA,HMO,1,2025-07-23,Large,Commercial,Active
P100002,FL,POS,5,2026-07-08,Small,Commercial,Active
P100003,PA,EPO,1,2025-01-13,Small,Medicaid,Active
P100004,TX,PPO,2,2026-10-28,Small,Commercial,Active
P100005,OH,HMO,3,2025-10-01,Small,Medicare,Active
P100006,NJ,PPO,1,2025-10-25,Small,Commercial,Active
P100007,TX,POS,4,2025-02-20,Small,Commercial,Active
P100008,FL,PPO,3,2026-05-15,Small,Commercial,Active
P100009,PA,EPO,4,2026-01-04,Large,Medicare,Expired
P100010,MA,EPO,4,2026-12-25,Small,Commercial,Active
P100011,FL,POS,4,2026-10-18,Small,Commercial,Active
P100012,FL,PPO,1,2025-12-23,Small,Medicaid,Active
P100013,NJ,POS,5,2025-01-03,Small,Medicare,Expired
P100014,CA,PPO,3,2025-09-11,Small,Medicaid,Active
P100015,PA,HMO,2,2026-04-20,Large,Commercial,Expired
P100016,NY,EPO,5,2026-05-21,Large,Medicare,Active
P100017,FL,POS,1,2025-09-13,Small,Commercial,Active
P100018,CA,HMO,4,2026-09-02,Large,Medicaid,Active
P100019,NY,HMO,2,2026-11-16,Small,Medicaid,Active
P100020,PA,POS,3,2025-05-30,Large,Medicaid,Expired
P100021,CT,POS,5,2026-05-03,Large,Medicaid,Active
P100022,OH,HMO,5,2025-10-06,Large,Commercial,Active
P100023,CA,PPO,2,2025-02-28,Small,Medicare,Active
P100024,IL,HMO,1,2026-03-22,Small,Commercial,Active
P100025,CT,POS,3,2025-04-23,Small,Medicare,Active
P100026,OH,HMO,2,2026-07-23,Small,Medicaid,Active
P100027,NJ,PPO,4,2026-05-04,Small,Commercial,Active
P100028,TX,EPO,3,2026-02-11,Small,Commercial,Active
P100029,MA,EPO,5,2026-01-02,Small,Medicare,Active
P100030,IL,HMO,2,2025-03-01,Large,Commercial,Active
P100031,NJ,PPO,5,2025-11-25,Small,Commercial,Active
P100032,PA,EPO,5,2026-12-29,Large,Commercial,Active
P100033,NJ,HMO,5,2026-04-14,Small,Commercial,Active
P100034,TX,HMO,1,2026-07-21,Large,Commercial,Active
P100035,PA,PPO,5,2026-12-21,Small,Commercial,Expired
P100036,IL,POS,4,2025-03-04,Small,Commercial,Active
P100037,TX,HMO,4,2025-07-03,Large,Medicaid,Active
P100038,NY,POS,3,2025-11-07,Small,Commercial,Active
P100039,MA,POS,5,2026-06-22,Small,Commercial,Active
P100040,IL,EPO,5,2025-06-26,Small,Commercial,Active
P100041,NY,POS,2,2026-07-29,Small,Commercial,Active
P100042,OH,PPO,1,2026-03-05,Small,Commercial,Active
