Load_ID,Policy_ID,State,Product,Clause_ID,Policy_Version,Loaded_Version,Load_Date,Loaded_By
L000001,P100000,TX,EPO,CL0837,2,3,2025-04-13,System
L000002,P100000,TX,EPO,CL0842,2,4,2025-12-15,UserB
L000003,P100000,TX,EPO,CL0898,2,5,2025-09-28,UserC
L000004,P100000,TX,EPO,CL0311,2,4,2025-04-17,UserB
L000006,P100000,TX,EPO,CL0490,2,5,2025-07-08,UserA
L000007,P100000,TX,EPO,CL0909,2,2,2025-01-21,UserA
L000008,P100000,TX,EPO,CL0206,2,5,2025-04-13,UserC
L000009,P100000,TX,EPO,CL0636,2,4,2025-05-02,UserA
L000010,P100000,TX,EPO,CL0307,2,1,2025-08-03,UserA
L000011,P100000,TX,EPO,CL0950,2,5,2025-11-27,UserA
L000012,P100001,MA,HMO,CL0803,1,3,2025-03-29,UserC
L000013,P100001,MA,HMO,CL0404,1,2,2025-04-10,UserB
L000014,P100001,MA,HMO,CL0033,1,4,2025-12-26,UserA
L000015,P100001,MA,HMO,CL0507,1,2,2025-06-01,UserC
L000016,P100001,MA,HMO,CL0734,1,5,2025-05-11,UserB
L000017,P100001,MA,HMO,CL0724,1,4,2025-05-30,UserC
L000018,P100001,MA,HMO,CL0483,1,4,2025-11-05,UserA
L000019,P100001,MA,HMO,CL0913,1,1,2025-09-15,UserA
L000020,P100001,MA,HMO,CL0842,1,5,2025-12-10,System
L000021,P100001,MA,HMO,CL0123,1,1,2025-10-21,System
L000022,P100001,MA,HMO,CL0247,1,1,2025-07-11,System
L000023,P100001,MA,HMO,CL0092,1,3,2025-10-04,UserB
L000024,P100001,MA,HMO,CL0387,1,1,2025-06-10,UserC
L000025,P100002,FL,POS,CL0355,5,5,2025-11-10,UserB
L000026,P100002,FL,POS,CL0762,5,3,2025-01-22,System
L000027,P100002,FL,POS,CL0372,5,1,2025-09-10,System
L000028,P100002,FL,POS,CL0285,5,1,2025-08-24,UserA
L000029,P100002,FL,POS,CL0390,5,4,2025-12-11,UserB
L000030,P100002,FL,POS,CL0698,5,1,2025-02-18,UserA
L000031,P100002,FL,POS,CL0929,5,4,2025-02-28,UserA
L000032,P100002,FL,POS,CL0319,5,2,2025-06-19,UserC
L000033,P100002,FL,POS,CL0118,5,3,2025-07-07,System
L000034,P100003,PA,EPO,CL0863,1,2,2025-09-28,UserA
L000035,P100003,PA,EPO,CL0290,1,5,2025-07-09,UserA
L000036,P100003,PA,EPO,CL0706,1,3,2025-06-24,System
L000037,P100003,PA,EPO,CL0879,1,3,2025-02-20,System
L000038,P100003,PA,EPO,CL0211,1,5,2025-12-30,UserC
L000039,P100004,TX,PPO,CL0690,2,2,2025-02-24,UserC
L000040,P100004,TX,PPO,CL0106,2,1,2025-09-01,UserA
L000041,P100004,TX,PPO,CL0065,2,2,2025-11-16,UserA
L000042,P100004,TX,PPO,CL0095,2,3,2025-05-11,UserA
L000043,P100004,TX,PPO,CL0294,2,2,2025-11-03,UserB
L000044,P100005,OH,HMO,CL0659,3,3,2025-05-15,UserC
L000045,P100005,OH,HMO,CL0382,3,3,2025-01-21,UserA
L000046,P100005,OH,HMO,CL0663,3,4,2025-11-25,System
L000047,P100005,OH,HMO,CL0872,3,3,2025-06-16,UserC
L000048,P100005,OH,HMO,CL0354,3,3,2025-10-01,UserC
L000049,P100005,OH,HMO,CL0449,3,5,2025-03-30,UserA
L000050,P100005,OH,HMO,CL0536,3,2,2025-11-12,UserB
L000051,P100005,OH,HMO,CL0954,3,2,2025-01-14,UserA
L000052,P100005,OH,HMO,CL0234,3,3,2025-08-30,UserB
L000053,P100006,NJ,PPO,CL0327,1,3,2025-09-22,UserB
L000054,P100006,NJ,PPO,CL0023,1,5,2025-12-12,System
L000055,P100006,NJ,PPO,CL0672,1,4,2025-02-22,UserA
L000056,P100006,NJ,PPO,CL0618,1,3,2025-12-06,UserB
L000057,P100006,NJ,PPO,CL0045,1,4,2025-04-02,UserC
L000058,P100006,NJ,PPO,CL0155,1,4,2025-09-21,UserA
L000059,P100006,NJ,PPO,CL0306,1,5,2025-02-04,UserB
L000060,P100006,NJ,PPO,CL0806,1,3,2025-07-25,UserC
L000061,P100006,NJ,PPO,CL0689,1,1,2025-03-22,System
L000062,P100006,NJ,PPO,CL0593,1,2,2025-02-19,System
L000063,P100007,TX,POS,CL0533,4,2,2025-12-26,UserA
L000064,P100007,TX,POS,CL0542,4,5,2025-01-02,UserA
L000065,P100007,TX,POS,CL0202,4,2,2025-02-23,UserA
L000066,P100007,TX,POS,CL0612,4,2,2025-04-16,UserA
L000067,P100007,TX,POS,CL0096,4,5,2025-09-17,UserA
L000068,P100007,TX,POS,CL0308,4,4,2025-11-06,UserB
L000069,P100007,TX,POS,CL0213,4,3,2025-07-10,UserC
L000070,P100007,TX,POS,CL0332,4,5,2025-08-06,UserA
L000071,P100007,TX,POS,CL0274,4,4,2025-02-13,UserC
L000072,P100007,TX,POS,CL0623,4,2,2025-06-11,UserB
L000073,P100007,TX,POS,CL0210,4,1,2025-07-21,UserB
L000074,P100007,TX,POS,CL0950,4,3,2025-09-27,UserB
L000075,P100008,FL,PPO,CL0673,3,2,2025-12-17,UserA
L000076,P100008,FL,PPO,CL0977,3,3,2025-10-31,System
L000077,P100008,FL,PPO,CL0373,3,1,2025-09-28,System
L000078,P100008,FL,PPO,CL0050,3,2,2025-08-03,UserA
L000079,P100008,FL,PPO,CL0048,3,4,2025-09-09,UserA
L000080,P100008,FL,PPO,CL0990,3,2,2025-07-09,UserA
L000082,P100008,FL,PPO,CL0796,3,4,2025-08-01,System
L000083,P100008,FL,PPO,CL0598,3,5,2025-07-27,System
L000084,P100008,FL,PPO,CL0433,3,2,2025-08-25,UserC
L000085,P100008,FL,PPO,CL0912,3,3,2025-12-04,UserC
L000086,P100008,FL,PPO,CL0273,3,4,2025-02-22,System
L000087,P100009,PA,EPO,CL0863,4,2,2025-10-07,System
L000088,P100009,PA,EPO,CL0290,4,5,2025-08-05,UserB
L000089,P100009,PA,EPO,CL0706,4,3,2025-09-09,UserC
L000090,P100009,PA,EPO,CL0879,4,3,2025-07-07,UserA
L000091,P100009,PA,EPO,CL0211,4,5,2025-02-10,UserB
L000092,P100010,MA,EPO,CL0661,4,1,2025-06-06,UserC
L000093,P100010,MA,EPO,CL0129,4,5,2025-01-15,UserA
L000094,P100010,MA,EPO,CL0541,4,2,2025-10-28,UserA
L000095,P100010,MA,EPO,CL0755,4,2,2025-03-06,System
L000096,P100010,MA,EPO,CL0521,4,3,2025-12-11,System
L000097,P100010,MA,EPO,CL0983,4,2,2025-11-23,UserA
L000098,P100011,FL,POS,CL0355,4,5,2025-01-09,UserA
L000099,P100011,FL,POS,CL0762,4,3,2025-12-10,System
L000100,P100011,FL,POS,CL0372,4,1,2025-05-09,System
L000101,P100011,FL,POS,CL0285,4,1,2025-05-16,System
L000102,P100011,FL,POS,CL0390,4,4,2025-03-04,System
L000103,P100011,FL,POS,CL0698,4,1,2025-05-19,UserC
L000104,P100011,FL,POS,CL0929,4,4,2025-03-22,System
L000105,P100011,FL,POS,CL0319,4,2,2025-06-12,UserB
L000106,P100011,FL,POS,CL0118,4,3,2025-10-16,UserB
L000107,P100012,FL,PPO,CL0673,1,2,2025-09-18,UserB
L000108,P100012,FL,PPO,CL0977,1,3,2025-08-19,System
L000109,P100012,FL,PPO,CL0373,1,1,2025-02-10,UserA
L000110,P100012,FL,PPO,CL0050,1,2,2025-01-28,UserA
L000111,P100012,FL,PPO,CL0048,1,4,2025-05-15,UserC
L000112,P100012,FL,PPO,CL0990,1,2,2025-07-20,System
L000113,P100012,FL,PPO,CL0904,1,4,2025-11-24,UserB
L000114,P100012,FL,PPO,CL0796,1,4,2025-09-25,UserA
L000115,P100012,FL,PPO,CL0598,1,5,2025-02-02,System
L000116,P100012,FL,PPO,CL0433,1,2,2025-02-17,UserB
L000117,P100012,FL,PPO,CL0912,1,3,2025-03-03,UserB
L000118,P100012,FL,PPO,CL0273,1,4,2025-08-04,UserB
L000119,P100013,NJ,POS,CL0294,5,1,2025-10-20,UserB
L000120,P100013,NJ,POS,CL0513,5,3,2025-04-09,UserB
L000121,P100013,NJ,POS,CL0104,5,5,2025-06-21,UserC
L000122,P100013,NJ,POS,CL0023,5,5,2025-12-26,UserB
L000123,P100013,NJ,POS,CL0453,5,3,2025-08-02,UserC
L000124,P100013,NJ,POS,CL0469,5,3,2025-02-04,UserB
L000125,P100013,NJ,POS,CL0554,5,1,2025-08-15,UserB
L000126,P100013,NJ,POS,CL0002,5,4,2025-04-11,UserB
L000127,P100014,CA,PPO,CL0774,3,2,2025-05-11,UserB
L000128,P100014,CA,PPO,CL0671,3,4,2025-09-14,UserC
L000129,P100014,CA,PPO,CL0036,3,5,2025-01-05,System
L000130,P100014,CA,PPO,CL0869,3,1,2025-08-06,UserA
L000131,P100014,CA,PPO,CL0422,3,2,2025-09-12,UserC
L000132,P100015,PA,HMO,CL0455,2,5,2025-12-25,UserC
L000133,P100015,PA,HMO,CL0371,2,2,2025-10-10,UserC
L000134,P100015,PA,HMO,CL0046,2,4,2025-07-26,System
L000135,P100015,PA,HMO,CL0251,2,2,2025-01-15,UserA
L000136,P100015,PA,HMO,CL0770,2,3,2025-12-12,System
L000137,P100015,PA,HMO,CL0140,2,3,2025-02-11,UserA
L000138,P100015,PA,HMO,CL0634,2,5,2025-06-28,UserA
L000139,P100015,PA,HMO,CL0699,2,3,2025-03-04,UserA
L000140,P100015,PA,HMO,CL0966,2,5,2025-12-18,System
L000141,P100015,PA,HMO,CL0416,2,4,2025-08-19,UserA
L000142,P100015,PA,HMO,CL0922,2,5,2025-08-29,UserB
L000143,P100016,NY,EPO,CL0077,5,4,2025-02-21,UserC
L000144,P100016,NY,EPO,CL0852,5,1,2025-04-06,UserA
L000145,P100016,NY,EPO,CL0877,5,5,2025-08-10,UserC
L000146,P100016,NY,EPO,CL0311,5,3,2025-08-19,System
L000147,P100016,NY,EPO,CL0729,5,4,2025-08-25,System
L000149,P100016,NY,EPO,CL0687,5,3,2025-06-20,UserA
L000150,P100016,NY,EPO,CL0710,5,2,2025-01-29,UserC
L000151,P100016,NY,EPO,CL0464,5,4,2025-02-05,UserC
L000152,P100016,NY,EPO,CL0133,5,2,2025-01-13,UserC
L000153,P100017,FL,POS,CL0355,1,5,2025-06-09,System
L000154,P100017,FL,POS,CL0762,1,3,2025-11-23,UserA
L000155,P100017,FL,POS,CL0372,1,1,2025-07-06,UserB
L000156,P100017,FL,POS,CL0285,1,1,2025-08-31,UserB
L000157,P100017,FL,POS,CL0390,1,4,2025-03-27,System
L000158,P100017,FL,POS,CL0698,1,1,2025-10-11,UserA
L000159,P100017,FL,POS,CL0929,1,4,2025-03-07,UserB
L000160,P100017,FL,POS,CL0319,1,2,2025-06-19,UserB
L000161,P100017,FL,POS,CL0118,1,3,2025-02-14,System
L000162,P100018,CA,HMO,CL0349,4,2,2025-03-03,UserC
L000163,P100018,CA,HMO,CL0489,4,2,2025-05-14,UserB
L000164,P100018,CA,HMO,CL0283,4,1,2025-10-11,System
L000165,P100018,CA,HMO,CL0797,4,1,2025-01-28,UserB
L000166,P100018,CA,HMO,CL0051,4,5,2025-04-18,UserB
L000167,P100018,CA,HMO,CL0407,4,4,2025-02-13,System
L000169,P100018,CA,HMO,CL0437,4,2,2025-10-13,UserA
L000170,P100018,CA,HMO,CL0926,4,2,2025-11-27,UserB
L000171,P100018,CA,HMO,CL0290,4,4,2025-05-08,UserC
L000172,P100018,CA,HMO,CL0497,4,2,2025-12-14,UserC
L000173,P100019,NY,HMO,CL0102,2,5,2025-08-19,UserA
L000174,P100019,NY,HMO,CL0170,2,5,2025-07-09,UserA
L000175,P100019,NY,HMO,CL0117,2,1,2025-08-13,System
L000176,P100019,NY,HMO,CL0207,2,5,2025-10-10,UserC
L000178,P100020,PA,POS,CL0612,3,1,2025-04-26,System
L000179,P100020,PA,POS,CL0152,3,5,2025-08-21,UserB
L000180,P100020,PA,POS,CL0876,3,5,2025-09-16,UserC
L000181,P100020,PA,POS,CL0983,3,1,2025-12-25,System
L000182,P100020,PA,POS,CL0510,3,1,2025-07-17,UserB
L000184,P100020,PA,POS,CL0899,3,5,2025-11-14,UserB
L000185,P100020,PA,POS,CL0562,3,1,2025-06-14,UserB
L000186,P100021,CT,POS,CL0034,5,5,2025-08-13,System
L000187,P100021,CT,POS,CL0080,5,4,2025-11-03,UserC
L000188,P100021,CT,POS,CL0095,5,1,2025-08-22,UserB
L000189,P100021,CT,POS,CL0187,5,5,2025-06-21,UserB
L000190,P100021,CT,POS,CL0458,5,2,2025-06-01,UserB
L000191,P100021,CT,POS,CL0624,5,4,2025-11-11,UserB
L000192,P100021,CT,POS,CL0848,5,5,2025-06-09,UserA
L000193,P100021,CT,POS,CL0085,5,2,2025-04-06,UserC
L000194,P100021,CT,POS,CL0707,5,4,2025-08-21,UserC
L000195,P100021,CT,POS,CL0805,5,2,2025-06-29,System
L000196,P100021,CT,POS,CL0657,5,3,2025-04-23,UserB
L000197,P100022,OH,HMO,CL0659,5,3,2025-11-14,System
L000198,P100022,OH,HMO,CL0382,5,3,2025-02-21,UserA
L000199,P100022,OH,HMO,CL0663,5,4,2025-09-25,UserA
L000201,P100022,OH,HMO,CL0354,5,3,2025-04-23,System
L000202,P100022,OH,HMO,CL0449,5,5,2025-04-11,System
L000203,P100022,OH,HMO,CL0536,5,2,2025-04-23,UserC
L000204,P100022,OH,HMO,CL0954,5,2,2025-03-22,System
L000205,P100022,OH,HMO,CL0234,5,3,2025-07-06,UserA
L000206,P100023,CA,PPO,CL0774,2,2,2025-04-23,UserA
