Requirement_ID,State,Product,Clause_ID,Effective_Date,Required_Version
RR00001,CT,PPO,CL0522,2025-01-01,4
RR00002,CT,PPO,CL0942,2025-01-01,2
RR00003,CT,PPO,CL0742,2025-01-01,5
RR00004,CT,PPO,CL0981,2025-01-01,2
RR00005,CT,PPO,CL0412,2025-01-01,4
RR00006,CT,PPO,CL0680,2025-01-01,1
RR00007,CT,PPO,CL0674,2025-01-01,5
RR00008,CT,PPO,CL0514,2025-01-01,1
RR00009,CT,PPO,CL0774,2025-01-01,1
RR00010,CT,PPO,CL0137,2025-01-01,1
RR00011,CT,PPO,CL0890,2025-01-01,3
RR00012,CT,HMO,CL0464,2025-01-01,4
RR00013,CT,HMO,CL0758,2025-01-01,3
RR00014,CT,HMO,CL0043,2025-01-01,5
RR00015,CT,HMO,CL0902,2025-01-01,4
RR00016,CT,HMO,CL0331,2025-01-01,2
RR00017,CT,HMO,CL0528,2025-01-01,2
RR00018,CT,HMO,CL0508,2025-01-01,1
RR00019,CT,HMO,CL0618,2025-01-01,5
RR00020,CT,HMO,CL0709,2025-01-01,4
RR00021,CT,HMO,CL0881,2025-01-01,2
RR00022,CT,HMO,CL0248,2025-01-01,5
RR00023,CT,HMO,CL0631,2025-01-01,1
RR00024,CT,EPO,CL0970,2025-01-01,4
RR00025,CT,EPO,CL0928,2025-01-01,1
RR00026,CT,EPO,CL0979,2025-01-01,5
RR00027,CT,EPO,CL0426,2025-01-01,4
RR00028,CT,EPO,CL0201,2025-01-01,3
RR00029,CT,EPO,CL0803,2025-01-01,5
RR00030,CT,EPO,CL0874,2025-01-01,4
RR00031,CT,EPO,CL0859,2025-01-01,3
RR00032,CT,EPO,CL0635,2025-01-01,1
RR00033,CT,EPO,CL0547,2025-01-01,4
RR00034,CT,EPO,CL0377,2025-01-01,3
RR00035,CT,POS,CL0034,2025-01-01,5
RR00036,CT,POS,CL0080,2025-01-01,4
RR00037,CT,POS,CL0095,2025-01-01,1
RR00038,CT,POS,CL0187,2025-01-01,5
RR00039,CT,POS,CL0458,2025-01-01,2
RR00040,CT,POS,CL0624,2025-01-01,4
RR00041,CT,POS,CL0848,2025-01-01,5
RR00042,CT,POS,CL0085,2025-01-01,4
RR00043,CT,POS,CL0707,2025-01-01,4
RR00044,CT,POS,CL0805,2025-01-01,2
RR00045,CT,POS,CL0657,2025-01-01,3
RR00046,NY,PPO,CL0654,2025-01-01,3
RR00047,NY,PPO,CL0930,2025-01-01,5
RR00048,NY,PPO,CL0647,2025-01-01,1
RR00049,NY,PPO,CL0223,2025-01-01,4
RR00050,NY,PPO,CL0891,2025-01-01,3
RR00051,NY,PPO,CL0067,2025-01-01,5
RR00052,NY,PPO,CL0987,2025-01-01,4
RR00053,NY,PPO,CL0437,2025-01-01,2
RR00054,NY,PPO,CL0641,2025-01-01,4
RR00055,NY,HMO,CL0102,2025-01-01,5
RR00056,NY,HMO,CL0170,2025-01-01,5
RR00057,NY,HMO,CL0117,2025-01-01,1
RR00058,NY,HMO,CL0207,2025-01-01,5
RR00059,NY,HMO,CL0264,2025-01-01,1
RR00060,NY,EPO,CL0077,2025-01-01,4
RR00061,NY,EPO,CL0852,2025-01-01,1
RR00062,NY,EPO,CL0877,2025-01-01,5
RR00063,NY,EPO,CL0311,2025-01-01,3
RR00064,NY,EPO,CL0729,2025-01-01,4
RR00065,NY,EPO,CL0755,2025-01-01,5
RR00066,NY,EPO,CL0687,2025-01-01,3
RR00067,NY,EPO,CL0710,2025-01-01,2
RR00068,NY,EPO,CL0464,2025-01-01,4
RR00069,NY,EPO,CL0133,2025-01-01,2
RR00070,NY,POS,CL0331,2025-01-01,4
RR00071,NY,POS,CL0317,2025-01-01,2
RR00072,NY,POS,CL0023,2025-01-01,2
RR00073,NY,POS,CL0257,2025-01-01,1
RR00074,NY,POS,CL0747,2025-01-01,5
RR00075,NY,POS,CL0240,2025-01-01,1
RR00076,NY,POS,CL0909,2025-01-01,2
RR00077,NY,POS,CL0872,2025-01-01,2
RR00078,NY,POS,CL0802,2025-01-01,5
RR00079,NY,POS,CL0750,2025-01-01,4
RR00080,NY,POS,CL0937,2025-01-01,4
RR00081,NY,POS,CL0163,2025-01-01,5
RR00082,NY,POS,CL0982,2025-01-01,5
RR00083,NJ,PPO,CL0327,2025-01-01,3
RR00084,NJ,PPO,CL0023,2025-01-01,5
RR00085,NJ,PPO,CL0672,2025-01-01,4
RR00086,NJ,PPO,CL0618,2025-01-01,3
RR00087,NJ,PPO,CL0045,2025-01-01,4
RR00088,NJ,PPO,CL0155,2025-01-01,4
RR00089,NJ,PPO,CL0306,2025-01-01,5
RR00090,NJ,PPO,CL0806,2025-01-01,3
RR00091,NJ,PPO,CL0689,2025-01-01,1
RR00092,NJ,PPO,CL0593,2025-01-01,2
RR00093,NJ,HMO,CL0388,2025-01-01,5
RR00094,NJ,HMO,CL0304,2025-01-01,4
RR00095,NJ,HMO,CL0760,2025-01-01,3
RR00096,NJ,HMO,CL0050,2025-01-01,4
RR00097,NJ,HMO,CL0040,2025-01-01,2
RR00098,NJ,HMO,CL0397,2025-01-01,4
RR00099,NJ,HMO,CL0087,2025-01-01,5
RR00100,NJ,HMO,CL0446,2025-01-01,4
RR00101,NJ,HMO,CL0990,2025-01-01,1
RR00102,NJ,HMO,CL0274,2025-01-01,4
RR00103,NJ,HMO,CL0069,2025-01-01,5
RR00104,NJ,EPO,CL0697,2025-01-01,1
RR00105,NJ,EPO,CL0662,2025-01-01,4
RR00106,NJ,EPO,CL0471,2025-01-01,1
RR00107,NJ,EPO,CL0581,2025-01-01,4
RR00108,NJ,EPO,CL0926,2025-01-01,1
RR00109,NJ,EPO,CL0500,2025-01-01,4
RR00110,NJ,EPO,CL0372,2025-01-01,1
RR00111,NJ,EPO,CL0519,2025-01-01,2
RR00112,NJ,EPO,CL0441,2025-01-01,5
RR00113,NJ,EPO,CL0676,2025-01-01,1
