Policy_ID,State,Product,Policy_Version,Policy_Effective_Date,Requirement_Effective_Date,Clause_ID,Required_Clause_Version,Requirement_ID,_merge
P100000,TX,EPO,2,2026-11-13,2025-01-01,CL0743,4,RR00259,left_only
P100008,FL,PPO,3,2026-05-15,2025-01-01,CL0904,4,RR00284,left_only
P100016,NY,EPO,5,2026-05-21,2025-01-01,CL0755,5,RR00065,left_only
P100018,CA,HMO,4,2026-09-02,2025-01-01,CL0386,5,RR00208,left_only
P100019,NY,HMO,2,2026-11-16,2025-01-01,CL0264,1,RR00059,left_only
P100020,PA,POS,3,2025-05-30,2025-01-01,CL0210,5,RR00194,left_only
P100022,OH,HMO,5,2025-10-06,2025-01-01,CL0872,3,RR00381,left_only
P100024,IL,HMO,1,2026-03-22,2025-01-01,CL0276,5,RR00333,left_only
P100028,TX,EPO,3,2026-02-11,2025-01-01,CL0950,5,RR00265,left_only
P100032,PA,EPO,5,2026-12-29,2025-01-01,CL0290,5,RR00185,left_only
P100034,TX,HMO,1,2026-07-21,2025-01-01,CL0156,5,RR00249,left_only
P100036,IL,POS,4,2025-03-04,2025-01-01,CL0064,1,RR00358,left_only
P100042,OH,PPO,1,2026-03-05,2025-01-01,CL0726,5,RR00377,left_only
P100047,MA,HMO,3,2026-08-04,2025-01-01,CL0803,3,RR00131,left_only
P100047,MA,HMO,3,2026-08-04,2025-01-01,CL0483,4,RR00137,left_only
P100047,MA,HMO,3,2026-08-04,2025-01-01,CL0092,3,RR00142,left_only
P100048,TX,POS,3,2025-01-09,2025-01-01,CL0202,2,RR00268,left_only
P100048,TX,POS,3,2025-01-09,2025-01-01,CL0623,2,RR00275,left_only
P100049,FL,EPO,5,2025-08-24,2025-01-01,CL0856,3,RR00306,left_only
P100051,CT,PPO,2,2026-11-16,2025-01-01,CL0742,5,RR00003,left_only
P100051,CT,PPO,2,2026-11-16,2025-01-01,CL0137,1,RR00010,left_only
P100055,MA,POS,1,2026-07-04,2025-01-01,CL0943,4,RR00153,left_only
P100057,CA,HMO,5,2025-07-22,2025-01-01,CL0437,2,RR00209,left_only
P100066,MA,POS,2,2026-12-26,2025-01-01,CL0457,1,RR00151,left_only
P100067,FL,PPO,4,2025-02-07,2025-01-01,CL0990,2,RR00283,left_only
P100068,TX,POS,3,2026-07-26,2025-01-01,CL0274,4,RR00274,left_only
P100069,IL,HMO,1,2025-10-21,2025-01-01,CL0701,3,RR00332,left_only
P100069,IL,HMO,1,2025-10-21,2025-01-01,CL0347,1,RR00340,left_only
P100069,IL,HMO,1,2025-10-21,2025-01-01,CL0157,5,RR00341,left_only
P100073,PA,HMO,4,2025-04-22,2025-01-01,CL0371,2,RR00174,left_only
P100075,OH,EPO,4,2025-01-21,2025-01-01,CL0563,1,RR00387,left_only
P100079,IL,HMO,3,2026-03-17,2025-01-01,CL0276,5,RR00333,left_only
P100082,FL,EPO,4,2025-06-15,2025-01-01,CL0993,2,RR00307,left_only
P100084,FL,PPO,2,2025-07-22,2025-01-01,CL0673,2,RR00278,left_only
P100085,FL,PPO,5,2026-05-11,2025-01-01,CL0990,2,RR00283,left_only
P100087,CT,EPO,5,2026-04-13,2025-01-01,CL0547,4,RR00033,left_only
P100089,NJ,PPO,2,2026-01-20,2025-01-01,CL0672,4,RR00085,left_only
P100091,CT,HMO,4,2025-09-12,2025-01-01,CL0709,4,RR00020,left_only
P100098,IL,POS,2,2026-08-22,2025-01-01,CL0010,3,RR00367,left_only
P100099,FL,PPO,4,2025-08-07,2025-01-01,CL0433,2,RR00287,left_only
P100100,NY,POS,1,2026-04-20,2025-01-01,CL0023,2,RR00072,left_only
P100100,NY,POS,1,2026-04-20,2025-01-01,CL0747,5,RR00074,left_only
P100102,TX,POS,1,2025-12-22,2025-01-01,CL0308,4,RR00271,left_only
P100103,TX,HMO,5,2026-04-05,2025-01-01,CL0681,3,RR00244,left_only
P100108,CA,POS,1,2025-05-28,2025-01-01,CL0995,1,RR00232,left_only
P100110,CT,EPO,1,2025-12-17,2025-01-01,CL0979,5,RR00026,left_only
P100110,CT,EPO,1,2025-12-17,2025-01-01,CL0874,4,RR00030,left_only
P100110,CT,EPO,1,2025-12-17,2025-01-01,CL0377,3,RR00034,left_only
P100114,CT,EPO,2,2025-02-10,2025-01-01,CL0635,1,RR00032,left_only
P100114,CT,EPO,2,2025-02-10,2025-01-01,CL0547,4,RR00033,left_only
P100115,PA,HMO,1,2026-01-28,2025-01-01,CL0416,4,RR00182,left_only
P100116,OH,EPO,3,2026-12-04,2025-01-01,CL0435,5,RR00391,left_only
P100119,IL,EPO,5,2026-06-28,2025-01-01,CL0164,1,RR00347,left_only
P100120,OH,PPO,2,2026-03-26,2025-01-01,CL0905,1,RR00374,left_only
