Load_ID,Policy_ID,State,Product,Clause_ID,Policy_Version,Loaded_Version,Load_Date,Loaded_By,Required_Clause_Version
L000193,P100021,CT,POS,CL0085,5,2,2025-04-06,UserC,4
L000210,P100023,CA,PPO,CL0422,2,3,2025-02-23,UserA,2
L000265,P100029,MA,EPO,CL0129,5,1,2025-10-31,UserA,5
L000398,P100041,NY,POS,CL0331,2,3,2025-03-04,UserC,4
L000400,P100041,NY,POS,CL0023,2,5,2025-05-05,UserC,2
L000479,P100048,TX,POS,CL0950,3,4,2025-10-16,System,3
L000534,P100054,FL,POS,CL0372,2,2,2025-11-10,System,1
L000543,P100055,MA,POS,CL0274,1,4,2025-08-15,UserC,3
L000556,P100056,NY,HMO,CL0207,1,3,2025-10-06,UserB,5
L000566,P100057,CA,HMO,CL0926,5,4,2025-07-06,System,2
L000570,P100058,CA,PPO,CL0671,5,3,2025-08-21,UserB,4
L000650,P100067,FL,PPO,CL0912,4,5,2025-12-14,System,3
L000736,P100075,OH,EPO,CL0050,4,4,2025-10-10,System,2
L000765,P100077,IL,EPO,CL0946,2,1,2025-03-13,UserB,2
L000921,P100092,PA,EPO,CL0706,4,2,2025-03-08,UserC,3
L000939,P100094,TX,HMO,CL0770,5,2,2025-08-14,UserC,1
L000976,P100098,IL,POS,CL0276,2,3,2025-12-01,System,4
L001052,P100104,FL,EPO,CL0067,4,4,2025-02-11,System,2
L001083,P100107,FL,EPO,CL0067,3,4,2025-06-06,UserA,2
L001122,P100110,CT,EPO,CL0547,1,5,2025-05-28,System,4
L001198,P100117,TX,HMO,CL0156,5,2,2025-03-04,UserA,5
L001324,P100131,TX,HMO,CL0670,5,5,2025-12-25,UserC,4
L001384,P100136,IL,EPO,CL0770,1,5,2025-10-22,System,3
L001465,P100143,TX,PPO,CL0095,2,1,2025-06-25,UserC,3
L001482,P100145,CT,POS,CL0458,4,3,2025-06-20,UserB,2
L001738,P100170,NJ,POS,CL0513,4,5,2025-12-03,UserC,3
L001805,P100176,CT,HMO,CL0709,1,2,2025-10-16,System,4
L001873,P100183,CT,EPO,CL0874,1,1,2025-01-12,UserB,4
L001934,P100189,TX,HMO,CL0188,3,2,2025-05-11,UserB,5
L001935,P100189,TX,HMO,CL0442,3,5,2025-08-25,UserB,3
L001936,P100189,TX,HMO,CL0125,3,3,2025-01-18,UserA,4
L002000,P100196,PA,HMO,CL0251,2,1,2025-11-08,UserC,2
L002024,P100199,CA,POS,CL0793,2,1,2025-08-30,UserC,4
L002193,P100214,IL,HMO,CL0155,2,1,2025-11-06,UserA,4
L002207,P100215,CT,EPO,CL0547,5,3,2025-05-01,System,4
L002230,P100217,TX,HMO,CL0770,5,4,2025-06-24,System,1
L002295,P100223,NY,POS,CL0240,1,2,2025-11-22,UserA,1
L002362,P100229,IL,HMO,CL0696,5,1,2025-11-07,UserA,4
L002412,P100234,PA,POS,CL0612,1,2,2025-06-22,UserA,1
L002428,P100235,PA,HMO,CL0966,3,1,2025-05-10,System,5
L002440,P100236,TX,HMO,CL0770,3,2,2025-03-24,System,1
L002469,P100238,IL,HMO,CL0249,3,5,2025-06-04,UserB,3
L002548,P100247,FL,HMO,CL0808,3,2,2025-02-12,UserA,4
L002582,P100250,FL,PPO,CL0433,3,3,2025-04-15,UserA,2
L002608,P100252,CA,POS,CL0340,4,1,2025-11-30,UserC,3
L002637,P100255,NJ,PPO,CL0672,2,5,2025-03-27,System,4
L002804,P100273,TX,HMO,CL0156,4,1,2025-10-29,UserA,5
L002818,P100274,NJ,EPO,CL0441,4,4,2025-10-22,System,5
L002825,P100275,CT,EPO,CL0979,5,3,2025-07-01,System,5
L002888,P100281,CA,PPO,CL0774,2,3,2025-04-27,UserA,2
L002923,P100285,FL,EPO,CL0499,5,3,2025-12-10,System,4
L003089,P100302,CT,POS,CL0080,1,3,2025-02-08,System,4
